pair_id,subset,program,group,status,acc_percent,hit_at_1,hit_at_3,mrr,ranking_queries,ranking_missing,t_align,t_smt,t_total,pruning_rate_percent,total_candidate_pairs,aligned_pairs,correct_pairs,smt_calls,command,stdout_path,stderr_path,trace_paths,ground_truth,prediction,confusion,error
A/s000_O1_vs_O1,A,s000_O1_vs_O1,naive,dry_run,,,,,0,0,0.0,0.0,0.0,,0,0,0,0,python3 /Users/zzk/Desktop/symbolicana/symbolic_analysis/src/symbolic_analysis/equivalence/semantic_equivalence_analyzer.py /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/s000_O1_path_1.txt /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/s000_O1_path_1.txt --output /Users/zzk/Desktop/symbolicana/evaluation_results/raw/A/s000_O1_vs_O1/naive_report.txt,,,,True,,,
A/s000_O1_vs_O1,A,s000_O1_vs_O1,veribin_align,skipped,,,,,0,0,0.0,0.0,0.0,100.0,256,0,0,0,python3 /Users/zzk/Desktop/symbolicana/veribin/src/veribin.py --original_path /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/s000_O1_path_1.txt --patched_path /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/s000_O1_path_1.txt --config_file  --func_addr_original 0x0 --func_addr_patched 0x0 --use_ida True,,,,True,,,missing veribin_ranking_path or veribin_config/BinDiff metadata
A/s000_O1_vs_O1,A,s000_O1_vs_O1,fmcad_align,dry_run,,100.0,100.0,1.0,16,0,0.0,0.0,0.0,,0,0,0,0,python3 /Users/zzk/Desktop/symbolicana/symbolic_analysis/scripts/path_similarity_batch.py --vectors /Users/zzk/Desktop/symbolicana/evaluation_results/raw/A/s000_O1_vs_O1/fmcad/path_vectors.json --all-pairs --out /Users/zzk/Desktop/symbolicana/evaluation_results/raw/A/s000_O1_vs_O1/fmcad/ranking.json,,,,True,,,
A/s1112_O1_vs_O1,A,s1112_O1_vs_O1,naive,dry_run,,,,,0,0,0.0,0.0,0.0,,0,0,0,0,python3 /Users/zzk/Desktop/symbolicana/symbolic_analysis/src/symbolic_analysis/equivalence/semantic_equivalence_analyzer.py /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/s1112_O1_path_1.txt /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/s1112_O1_path_1.txt --output /Users/zzk/Desktop/symbolicana/evaluation_results/raw/A/s1112_O1_vs_O1/naive_report.txt,,,,True,,,
A/s1112_O1_vs_O1,A,s1112_O1_vs_O1,veribin_align,skipped,,,,,0,0,0.0,0.0,0.0,100.0,4,0,0,0,python3 /Users/zzk/Desktop/symbolicana/veribin/src/veribin.py --original_path /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/s1112_O1_path_1.txt --patched_path /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/s1112_O1_path_1.txt --config_file  --func_addr_original 0x0 --func_addr_patched 0x0 --use_ida True,,,,True,,,missing veribin_ranking_path or veribin_config/BinDiff metadata
A/s1112_O1_vs_O1,A,s1112_O1_vs_O1,fmcad_align,dry_run,,50.0,100.0,0.75,2,0,0.0,0.0,0.0,,0,0,0,0,python3 /Users/zzk/Desktop/symbolicana/symbolic_analysis/scripts/path_similarity_batch.py --vectors /Users/zzk/Desktop/symbolicana/evaluation_results/raw/A/s1112_O1_vs_O1/fmcad/path_vectors.json --all-pairs --out /Users/zzk/Desktop/symbolicana/evaluation_results/raw/A/s1112_O1_vs_O1/fmcad/ranking.json,,,,True,,,
A/s121_O1_vs_O1,A,s121_O1_vs_O1,naive,dry_run,,,,,0,0,0.0,0.0,0.0,,0,0,0,0,python3 /Users/zzk/Desktop/symbolicana/symbolic_analysis/src/symbolic_analysis/equivalence/semantic_equivalence_analyzer.py /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/s121_O1_path_1.txt /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/s121_O1_path_1.txt --output /Users/zzk/Desktop/symbolicana/evaluation_results/raw/A/s121_O1_vs_O1/naive_report.txt,,,,True,,,
A/s121_O1_vs_O1,A,s121_O1_vs_O1,veribin_align,skipped,,,,,0,0,0.0,0.0,0.0,100.0,256,0,0,0,python3 /Users/zzk/Desktop/symbolicana/veribin/src/veribin.py --original_path /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/s121_O1_path_1.txt --patched_path /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/s121_O1_path_1.txt --config_file  --func_addr_original 0x0 --func_addr_patched 0x0 --use_ida True,,,,True,,,missing veribin_ranking_path or veribin_config/BinDiff metadata
A/s121_O1_vs_O1,A,s121_O1_vs_O1,fmcad_align,dry_run,,12.5,25.0,0.2698893120768121,16,0,0.0,0.0,0.0,,0,0,0,0,python3 /Users/zzk/Desktop/symbolicana/symbolic_analysis/scripts/path_similarity_batch.py --vectors /Users/zzk/Desktop/symbolicana/evaluation_results/raw/A/s121_O1_vs_O1/fmcad/path_vectors.json --all-pairs --out /Users/zzk/Desktop/symbolicana/evaluation_results/raw/A/s121_O1_vs_O1/fmcad/ranking.json,,,,True,,,
A/s1221_O1_vs_O1,A,s1221_O1_vs_O1,naive,dry_run,,,,,0,0,0.0,0.0,0.0,,0,0,0,0,python3 /Users/zzk/Desktop/symbolicana/symbolic_analysis/src/symbolic_analysis/equivalence/semantic_equivalence_analyzer.py /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/s1221_O1_path_1.txt /Users/zzk/Desktop/symbolicana/benchmarks/tsvc_paths/../../symbolic_analysis/data/tsvc/paths/s1221_O1_path_1.txt --output /Users/zzk/Desktop/symbolicana/evaluation_results/raw/A/s1221_O1_vs_O1/naive_report.txt,,,,True,,,
